speciesid,populationid,Species,Population/Stock,Status,Freshwater,Marine,HUC8,Basin Name,Default Run
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060110,Lower Snake River,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17080006,Lower Columbia,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17080003,Lower Columbia-Clatskanie,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060103,Lower Snake-Asotin,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060106,Lower Grande Ronde,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17070101,Middle Columbia-Lake Wallula,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17090012,Lower Willamette,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060101,Hells Canyon,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060102,Imnaha River,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17070204,Lower John Day,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17070105,Middle Columbia-Hood,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17080001,Lower Columbia-Sandy,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17070306,Lower Deschutes,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060306,Clearwater,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060303,Lochsa,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060302,Lower Selway,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060304,Middle Fork Clearwater,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060301,Upper Selway,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060305,South Fork Clearwater,NULL
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,Yes,Yes,17060209,Lower Salmon,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17020008,Methow,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17020006,Okanogan,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17070105,Middle Columbia-Hood,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17080001,Lower Columbia-Sandy,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17070204,Lower John Day,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17090012,Lower Willamette,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17070101,Middle Columbia-Lake Wallula,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17080003,Lower Columbia-Clatskanie,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17080006,Lower Columbia,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17020016,Upper Columbia-Priest Rapids,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17020011,Wenatchee,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17020010,Upper Columbia-Entiat,NULL
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,Yes,Yes,17020005,Chief Joseph,NULL
1,1235,"Salmon, Chinook",Upper Columbia River spring-run NEP,NMFS Nonessential Experimental,Yes,Yes,17020006,Okanogan,NULL
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090010,Tualatin,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090008,Yamhill,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17080001,Lower Columbia-Sandy,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17070105,Middle Columbia-Hood,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090004,McKenzie,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090001,Middle Fork Willamette,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090002,Coast Fork Willamette,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17080006,Lower Columbia,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090011,Clackamas,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090007,Middle Willamette,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090009,Molalla-Pudding,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090003,Upper Willamette,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090005,North Santiam,Spring
