speciesid,populationid,Species,Population/Stock,Status,HUC8,Basin Name
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110011,Snohomish
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110012,Lake Washington
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110013,Duwamish
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110014,Puyallup
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110015,Nisqually
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110016,Deschutes
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110017,Skokomish
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110018,Hood Canal
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110019,Kitsap
1,100,"Salmon, Chinook",Puget Sound,NMFS Threatened,17110020,Dungeness-Elwha
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020120,Upper Butte
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020125,Upper Yuba
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020124,Honcut headwaters
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020119,Mill-Big Chico
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020118,Upper Cow-Battle
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020114,Upper Elder-Upper Thomes
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020113,Cottonwood headwaters
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020112,Sacramento-Upper Clear
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020111,Lower American
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020109,Lower Sacramento
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020108,Lower Bear
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020107,Lower Yuba
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020106,Lower Feather
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020104,Sacramento-Stone Corral
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020105,Lower Butte
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020103,Sacramento-Lower Thomes
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020102,Lower Cottonwood
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18020101,Sacramento-Lower Cow-Lower Clear
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18050004,San Francisco Bay
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18050002,San Pablo Bay
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18050001,Suisun Bay
1,3,"Salmon, Chinook",Sacramento River winter-run,NMFS Endangered,18050006,San Francisco Coastal South
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060107,Lower Snake-Tucannon
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060110,Lower Snake River
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17080006,Lower Columbia
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17080003,Lower Columbia-Clatskanie
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060103,Lower Snake-Asotin
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060106,Lower Grande Ronde
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17070101,Middle Columbia-Lake Wallula
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17090012,Lower Willamette
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060101,Hells Canyon
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060102,Imnaha River
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17070204,Lower John Day
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17070105,Middle Columbia-Hood
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17080001,Lower Columbia-Sandy
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17070306,Lower Deschutes
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060306,Clearwater
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060303,Lochsa
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060302,Lower Selway
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060304,Middle Fork Clearwater
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060301,Upper Selway
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060305,South Fork Clearwater
